$cbo,$loc,$dam,$wmc,$dit,$ic,$amc,$moa,$<bug
5,3,0.0,3,1,0,0.0,0,F
4,10,0.0,2,2,0,4.0,0,F
11,101,0.0,3,1,0,32.66666667,0,F
11,215,1.0,3,1,0,70.33333333,0,F
2,24,1.0,4,1,0,4.75,1,F
3,15,1.0,2,3,0,6.0,0,F
5,1,0.0,1,1,0,0.0,0,F
3,50,0.0,5,3,0,9.0,0,F
9,3,0.0,3,1,0,0.0,0,F
10,27,0.0,4,1,0,5.75,0,F
19,1090,1.0,13,1,0,82.76923077,1,F
16,598,0.0,5,1,0,118.6,0,F
6,290,1.0,10,2,0,27.5,1,F
3,222,1.0,12,1,0,17.0,1,F
4,194,1.0,13,4,0,13.53846154,0,F
24,763,1.0,4,1,0,189.25,2,F
2,49,0.0,2,1,0,23.5,0,F
7,132,1.0,11,1,1,10.63636364,0,F
2,88,1.0,10,1,0,7.2,1,F
16,1130,0.928571429,37,4,2,29.16216216,0,F
7,124,1.0,9,2,1,12.44444444,2,F
30,766,0.888888889,21,2,1,35.04761905,1,F
84,1119,0.894736842,74,1,0,13.86486486,12,F
12,122,1.0,7,2,1,15.85714286,0,F
12,2,0.0,2,1,0,0.0,0,F
24,699,1.0,29,1,0,22.75862069,3,F
5,53,0.0,6,2,2,7.833333333,0,F
5,34,1.0,4,1,0,7.0,1,F
10,18,0.0,3,2,1,4.666666667,1,F
4,233,0.5,21,3,1,9.80952381,1,F
10,1,0.0,1,1,0,0.0,0,F
9,30,1.0,7,1,0,3.0,1,F
15,3,0.0,3,1,0,0.0,0,F
18,141,1.0,8,1,1,16.125,1,F
15,10,0.0,10,1,0,0.0,0,F
13,636,1.0,45,4,3,12.66666667,0,F
